日期,未成年犯罪,未成年人保护法,预防未成年人犯罪法,刑事责任年龄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月16日,24108,15224,5210,5800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月17日,29570,19210,7450,3786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月18日,29578,19824,6824,6500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月19日,26088,38786,8648,2800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月20日,20264,26998,5350,3050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月21日,31270,67610,4436,3750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月22日,34800,152302,6024,5124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月23日,37658,115900,5862,4362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月24日,50298,107834,5524,14640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月25日,176412,165138,11224,53834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月26日,231548,154996,12460,57662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月27日,411918,295208,57550,68778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月28日,331302,292812,35110,129746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月29日,329250,264806,26954,72468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月30日,377198,265724,23950,67170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月31日,329416,238578,27246,48996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月1日,286286,230946,61822,47064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月2日,236358,237102,40688,43538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月3日,287744,239194,29460,47186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月4日,261778,231094,39360,47234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月5日,233446,213092,35126,53616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月6日,225092,176440,28020,48022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月7日,251034,160970,30376,46864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月8日,216682,146688,28920,51402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月9日,200644,135046,31450,48122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月10日,196416,136402,30560,44224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月11日,160640,95956,16008,34292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月12日,191846,99816,16694,36790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
